Genomic Position Start,Genomic Position End,Gene/Locus And Other Related Symbols,Gene Name,Phenotypes,MOI
39671122,39688057,"PGAP3, PERLD1, CAB2, MGC9753, HPMRS4",Post-GPI attachment to proteins 3,"Hyperphosphatasia with impaired intellectual development syndrome 4, 615716 (3), Autosomal recessive",AR
39688094,39728658,"ERBB2, NGL, NEU, HER2, VSCN2",Avian erythroblastic leukemia viral (v-erb-b2) oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog),"Gastric cancer, somatic, 613659 (3); Adenocarcinoma of lung, somatic, 211980 (3); Ovarian cancer, somatic, 167000 (3); ?Visceral neuropathy, familial, 2, autosomal recessive, 619465 (3), Autosomal recessive; Glioblastoma, somatic, 137800 (3)",AR
39728510,39730532,"MIEN1, C17orf37, RDX12",Migration and invasion enhancer 1,,
39737938,39747285,GRB7,Growth factor receptor-bound protein 7,,
39757715,39864312,"IKZF3, ZNFN1A3, AIOLOS, IMD84",Ikaros family zinc finger 3,"?Immunodeficiency 84, 619437 (3), Autosomal dominant",AD
39800001,52100000,ASRT6,"Asthma-related traits, susceptibility to, 6","{Asthma-related traits, susceptibility to, 6}, 611403 (2)",
39800001,52100000,AUTS7,"Autism, susceptibility to, 7","{Autism susceptibility 7}, 610676 (2)",
39800001,59500000,HPC9,"Prostate cancer, hereditary, 9","{Prostate cancer, hereditary, 9}, 610997 (2)",
39800001,59500000,MYP5,Myopia 5,"Myopia 5, 608474 (2), Autosomal dominant",AD
39800001,59500000,"PTLAH, FPAH",Patella aplasia or hypoplasia,"Patella aplasia or hypoplasia, 168860 (2), Autosomal dominant",AD
39868202,39877896,"ZPBP2, ZPBPL",Zona pellucida-binding protein 2,,
39904595,39918635,"GSDMB, GSDML",Gasdermin B,,
39921041,39927601,ORMDL3,ORM1-like protein 3,,
39963004,39977768,"GSDMA, GSDM1, GSDM",Gasdermin A,,
39980807,39997959,"PSMD3, RPN3","Proteasome 26S subunit, non-ATPase, 3",,
40015440,40017813,"CSF3, GCSF",Colony-stimulating factor-3 (granulocyte),,
40019104,40054408,"MED24, TRAP100, KIAA0130",Mediator complex subunit 24,,
40062193,40093867,"THRA, ERBA1, THRA1, CHNG6","Thyroid hormone receptor, alpha (oncogene ERBA1)","Hypothyroidism, congenital, nongoitrous, 6, 614450 (3), Autosomal dominant",AD
40092793,40100589,"NR1D1, THRAL, EAR1","Nuclear receptor 1, subfamily D, member 1 (thyroid hormone receptor, alpha-1-like)",,
40121971,40136917,MSL1,MSL complex subunit 1,,
40140537,40172171,"MLN51, CASC3",MLN51 gene,,
40200001,42800000,IBD22,Inflammatory bowel disease 22,"{Inflammatory bowel disease 22}, 612380 (2)",
40219304,40284136,"WIRE, WICH",WASP-interacting protein-related protein,,
40287879,40304657,"CDC6, CDC18L, MGORS5",Cell division cycle 6,"?Meier-Gorlin syndrome 5, 613805 (3), Autosomal recessive",AR
40309180,40357643,RARA,"Retinoic acid receptor, alpha polypeptide","Leukemia, acute promyelocytic, 612376 (1)",
40360652,40364737,"GJD3, GJC1, CX31.9","Gap junction protein, delta-3 (31.9kD)",,
40388525,40417896,"TOP2A, TOP2","Topoisomerase (DNA) II, alpha, 170kD","DNA topoisomerase II, resistance to inhibition of, by amsacrine (3)",
40443450,40457725,IGFBP4,Insulin-like growth factor-binding protein-4,,
40475834,40501623,"TNS4, CTEN",Tensin 4,,
40553769,40565472,"CCR7, CMKBR7, EBI1",Chemokine (C-C) receptor 7 (Epstein-Barr virus induced gene 1),,
40624962,40647818,"SMARCE1, BAF57, CSS5","SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily E, member 1","{Meningioma, familial, susceptibility to}, 607174 (3), Autosomal dominant; Coffin-Siris syndrome 5, 616938 (3), Autosomal dominant",AD
40697991,40703752,"KRT24, FLJ20261",Keratin 24,,
40748021,40755542,"KRT25, K25, KRT24IRS1, ARWH3","Keratin 25, type I","Woolly hair, autosomal recessive 3, 616760 (3), Autosomal recessive",AR
40766238,40772201,"KRT26, K25, K25B, K25IRS2","Keratin 26, type I",,
40776808,40782550,"KRT27, KRT25C, K25IRS3","Keratin 27, type I",,
40792196,40799959,"KRT28, K25D, K25IRS4","Keratin 28, type I",,
40818117,40822614,"KRT10, EHK2, BCIE, BIE, IHL",Keratin 10,"Ichthyosis, annular epidermolytic 1, 607602 (3), Autosomal dominant; Epidermolytic hyperkeratosis 2, 620150 (3), Autosomal recessive, Autosomal dominant; ?Ichthyosis histrix, Lambert type, 146600 (3), Autosomal dominant; Ichthyosis with confetti, 609165 (3), Autosomal dominant",AD/AR
40861303,40867223,"KRT12, MECD1",Keratin 12,"Meesmann corneal dystrophy 1, 122100 (3), Autosomal dominant",AD
40875889,40885242,"KRT20, CD20, KRT21",Keratin 20,,
40922700,40937646,KRT23,Keratin 23,,
40958417,40966948,KRT39,"Keratin 38, type I",,
40977715,40987135,"KRT40, KA36","Keratin 40, type I",,
41026026,41027208,"KRTAP-15, KAP1.5",Keratin-associated protein 1-5,,
41029351,41030195,"KRTAP1-4, KAP1.4",Keratin-associated protein 1-4,,
41033884,41034874,"KRTAP1-3, KAP1.3, KAP1.2, KAP1.9",Keratin-associated protein 1-3,,
41040541,41041450,"KRTAP1-1, KAP1.1, KAP1.7, KAP1.6",Keratin-associated protein 1-1,,
41346092,41350828,"KRT33A, KRTHA3A, HA3I",Keratin 33A,,
41363498,41369813,"KRT33B, KRTHA3A, HA3II",Keratin 33B,,
41377669,41383816,"KRT34, KRTHA4, HA4",Keratin 34,,
41393721,41397608,"KRT31, KRTHA1, HA1",Keratin 31,,
41420547,41424585,"KRT37, KRTHA7, HA7",Keratin 37,,
41436154,41440983,"KRT38,  KRTHA8, HA8",Keratin 38,,
41459513,41467386,"KRT32, KRTHA2, HA2",Keratin 32,,
41476710,41481151,"KRT35, KRTHA5",Keratin 35,,
41486136,41489910,"KRT36, KRTHA6, HA6",Keratin 36,,
41500981,41505612,"KRT13, WSN2",Keratin 13,"White sponge nevus 2, 615785 (3), Autosomal dominant",AD
41513745,41518890,KRT15,Keratin 15,,
41523617,41528308,KRT19,Keratin 19,,
41549606,41554495,LINC00974,Long intergenic noncoding RNA 974,,
41565836,41572059,"KRT9, EPPK1",Keratin 9,"Palmoplantar keratoderma, epidermolytic, 1, 144200 (3), Autosomal dominant",AD
41582279,41586895,"KRT14, EBS1A, EBS1B, EBS1C, EBS1D",Keratin 14,"Epidermolysis bullosa simplex 1D, generalized, intermediate or severe, autosomal recessive, 601001 (3), Autosomal recessive; Epidermolysis bullosa simplex 1C, localized, 131800 (3), Autosomal dominant; Dermatopathia pigmentosa reticularis, 125595 (3), Autosomal dominant; Epidermolysis bullosa simplex 1A, generalized severe, 131760 (3), Autosomal dominant; Naegeli-Franceschetti-Jadassohn syndrome, 161000 (3), Autosomal dominant; Epidermolysis bullosa simplex 1B, generalized intermediate, 131900 (3), Autosomal dominant",AD/AR
41609778,41612767,"KRT16, FNEPPK, PC1",Keratin 16,"Palmoplantar keratoderma, nonepidermolytic, focal, 613000 (3), Autosomal dominant; Pachyonychia congenita 1, 167200 (3), Autosomal dominant",AD
41619442,41624575,"KRT17, PC2, PCHC1",Keratin 17,"Steatocystoma multiplex, 184500 (3), Autosomal dominant; Pachyonychia congenita 2, 167210 (3), Autosomal dominant",AD
41688885,41692668,"EIF1, SUI1, A121",Eukaryotic translation initiation factor 1,,
41712331,41715969,"GAST, GAS",Gastrin,,
41717739,41734646,"HAP1, HLP, HAP2",Huntingtin-associated protein 1 (neuroan 1),,
41754609,41786711,"JUP, DP3, PDGB, ARVD12",Junction plakoglobin,"Naxos disease, 601214 (3), Autosomal recessive; ?Arrhythmogenic right ventricular dysplasia 12, 611528 (3), Autosomal dominant",AD/AR
41801953,41811949,"P3H4, SC65, LEPREL4",Proyly 3-hydroxylase 4,,
41813004,41823213,"FKBP10, FKBP65, OI11, BRKS1",FK506-binding protein 10,"Osteogenesis imperfecta, type XI, 610968 (3), Autosomal recessive; Bruck syndrome 1, 259450 (3), Autosomal recessive",AR
41825057,41836232,"NT5C3B, NT5C3L, CNIIIL","5'-nucleotidase, cytosolic IIIb",,
41835685,41848384,"KLHL10, SPGF11",Kelch-like 10,"Spermatogenic failure 11, 615081 (3), Autosomal dominant",AD
41848518,41865423,KLHL11,"Kelch-like family, member 11",,
41866917,41930545,ACLY,ATP citrate lyase,,
41930617,41966503,"ODAD4, TTC25, CILD35",Outer dynein arm docking complex subunit 4,"Ciliary dyskinesia, primary, 35, 617092 (3), Autosomal recessive",AR
41966795,41977740,"CNP, CNP1, HLD20","2', 3' cyclic nucleotide 3' phosphohydrolase","?Leukodystrophy, hypomyelinating, 20, 619071 (3), Autosomal recessive",AR
41976435,42017439,"DANJC7, TTC2, TPR2","DnaJ, E. coli, homolog of, subfamily C, member 7 (tetratricopeptide repeat domain 2)",,
42017576,42025641,"NKIRAS2, KBRAS2",NFKB inhibitor-interacting Ras-like protein 2,,
42101411,42112714,"DHX58, LGP2, D11LGP2",DExH-box helicase 58,,
42113111,42121367,"KAT2A, GCN5L2, GCN5",K(lysine) acetyltransferase 2A,,
42122804,42123352,HSPB9,Heat-shock 27kD protein 9,,
42124979,42154989,"RAB5C, RABL",Ras-associated protein RAB5c,,
42156891,42181142,"KCNH4, BEC2","Potassium channel, voltage-gated, subfamily H, member 4",,
42184060,42185452,"HCRT, OX, NRCLP1",Hypocretin,"?Narcolepsy 1, 161400 (3), Autosomal dominant",AD
42189087,42194494,"GHDC, LGP1",GH3 domain-containing protein,,
42199177,42288370,"STAT5B, GHISID2",Signal transducer and activator of transcription 5B,"Growth hormone insensitivity with immune dysregulation 1, autosomal recessive, 245590 (3), Autosomal recessive; Growth hormone insensitivity with immune dysregulation 2, autosomal dominant, 618985 (3), Autosomal dominant; Leukemia, acute promyelocytic, somatic, 102578 (3)",AD/AR
42287439,42311943,"STAT5A, STAT5, MGF",Signal transducer and activator of transcription 5a,,
42313324,42388442,"STAT3, APRF, HIES, ADMIO1",Signal transducer and activator of transcription-3 (acute-phase response factor),"Hyper-IgE syndrome 1, autosomal dominant, with recurrent infections, 147060 (3), Autosomal dominant; Autoimmune disease, multisystem, infantile-onset, 1, 615952 (3), Autosomal dominant",AD
42402449,42423256,"CAVIN1, PTRF",Caveolae-associated protein 1,"Lipodystrophy, congenital generalized, type 4, 613327 (3), Autosomal recessive",AR
42458878,42522579,"ATP6V0A1, ATP6N1A, VPP1, DEE104, NEDEBA","ATPase, H+ transporting, V0 subunit A1","Neurodevelopmental disorder with epilepsy and brain atrophy, 619971 (3), Autosomal recessive; Developmental and epileptic encephalopathy 104, 619970 (3), Autosomal dominant",AD/AR
42536241,42544449,"NAGLU, MPS3B, CMT2V","N-acetylglucosaminidase, alpha-","?Charcot-Marie-Tooth disease, axonal, type 2V, 616491 (3), Autosomal dominant; Mucopolysaccharidosis type IIIB (Sanfilippo B), 252920 (3), Autosomal recessive",AD/AR
42552923,42555214,"HSD17B1, EDH17B2",Estradiol 17-beta-dehydrogenase-1,,
42562148,42566277,"COASY, NBIA6, PCH12",Coenzyme A synthase,"Pontocerebellar hypoplasia, type 12, 618266 (3), Autosomal recessive; Neurodegeneration with brain iron accumulation 6, 615643 (3), Autosomal recessive",AR
42567100,42573203,"MLX, TCFL4",MAX-like protein X,,
42572310,42577831,"PSMC3IP, TBPIP, GT198, HOP2, ODG3",PSMC3-interacting protein,"Ovarian dysgenesis 3, 614324 (3), Autosomal recessive",AR
42579508,42609427,FAM134C,"Family with sequence similarity 134, member C",,
42609683,42615238,"TUBG1, CDCBM4","Tubulin, gamma 1","Cortical dysplasia, complex, with other brain malformations 4, 615412 (3), Autosomal dominant",AD
42659284,42667006,TUBG2,"Tubulin, gamma 2",,
42678889,42681843,"CCR10, GPR2",Chemokine (C-C) receptor 10,,
42682531,42699993,"CNTNAP1, CASPR, P190, CHN3",Contactin-associated protein 1,"Lethal congenital contracture syndrome 7, 616286 (3), Autosomal recessive; Hypomyelinating neuropathy, congenital, 3, 618186 (3), Autosomal recessive",AR
42700275,42745040,EZH1,"Enhancer of zeste, Drosophila, homolog of, 1",,
42761227,42763041,RAMP2,Receptor activity-modifying protein 2,,
42773449,42779599,"VPS25, FAP20",Vacuolar protein sorting 25 homolog,,
42780610,42797066,"WNK4, PRKWNK4, PHA2B",WNK lysine deficient protein kinase 4,"Pseudohypoaldosteronism, type IIB, 614491 (3), Autosomal dominant",AD
42797625,42798704,"COA3, CCDC56, MC4DN14",Cytochrome c oxidase assembly factor 3,"?Mitochondrial complex IV deficiency, nuclear type 14, 619058 (3), Autosomal recessive",AR
42798785,42811587,"CNTD1, COSA1",Cyclin N-terminal domain-containing protein 1,,
42800001,46800000,"DUP17q21.31, C17DUPq21.31",Chromosome 17q21.31 duplication syndrome,"Chromosome 17q21.31 duplication syndrome, 613533 (4)",
42800001,52100000,ERDA1,"Expanded repeat domain, CAG/CTG, 1",,
42800001,59500000,MRT35,"Intellectual developmental disorder, autosomal recessive 35","Intellectual developmental disorder, autosomal recessive 35, 615162 (2), Autosomal recessive",AR
42800001,46800000,VBCH,Van Buchem disease,"van Buchem disease, 239100 (4), Autosomal recessive",AR
42810132,42824282,BECN1,Beclin 1,,
42833397,42843760,"PSME3, PA28G",Proteasome activator subunit 3,,
42844580,42850707,"AOC2, RAO","Amine oxidase, copper-containing, 2",,
42851199,42858124,"AOC3, HPAO, VAP1","Amine oxidase, copper-containing 3",,
42900799,42914438,"G6PC, G6PT","Glucose-6-phosphatase, catalytic","Glycogen storage disease Ia, 232200 (3), Autosomal recessive",AR
42950526,42964454,AARSD1,Alanyl-tRNA synthetase domain-containing 1,,
42980565,42995142,"RUNDC1, RUND1",RUN domain-containing protein 1,,
42998273,43002959,"RPL27, DBA16",Ribosomal protein L27,"?Diamond-Blackfan anemia 16, 617408 (3), Autosomal dominant",AD
43006784,43014456,IFI35,Interferon-induced protein-35,,
43014607,43022385,VAT1,Vesicle amine transport protein 1,,
43025231,43032041,"RND2, ARHN, RHO7","Ras homolog gene family, member N (GTP-binding protein Rho7)",,
43044295,43170327,"BRCA1, PSCP, BROVCA1, PNCA4, FANCS",BRCA1 DNA repair-associated protein,"Fanconi anemia, complementation group S, 617883 (3), Autosomal recessive; {Breast-ovarian cancer, familial, 1}, 604370 (3), Multifactorial, Autosomal dominant; {Pancreatic cancer, susceptibility to, 4}, 614320 (3)",AD/AR
43125557,43153671,NBR2,"Neighbor of BRCA1 gene 2, noncoding",,
43170409,43211688,"NBR1, M17S2",NBR1 autophagy cargo receptor,,
43233790,43233977,"RNU2-1, RNU2","RNA, U2 small nuclear, 1",,
43398993,43401137,"ARL4D, ARF4L",ADP ribosylation factor-like GTPase 4D,,
43483975,43544799,"DHX8, DDX8, HRH1",DEAH-box helicase 8,,
43527846,43546340,ETV4,ETS variant transcription factor 4,,
43640389,43661922,"MEOX1, MOX1, KFS2",Mesenchyme homeobox 1,"Klippel-Feil syndrome 2, 214300 (3), Autosomal recessive",AR
43753738,43758791,"SOST, VBCH, CDD, SOST1",Sclerostin,"Sclerosteosis 1, 269500 (3), Autosomal recessive; Craniodiaphyseal dysplasia, autosomal dominant, 122860 (3), Autosomal dominant",AD/AR
43766125,43778977,"DUSP3, VHR",Dual specificity phosphatase-3 (vaccinia virus phosphatase VH1-related),,
43780435,43787620,CFAP97D1,CFAP97 domain-containing protein 1,,
43800811,43833146,"MPP3, DLG3","Membrane protein, palmitoylated-3 (MAGUK p55 subfamily member 3)",,
43847176,43863639,"CD300LG, TREM4, CLM9","CD300 antigen-like family, member G",,
43875360,43909711,"MPP2, DLG2","Membrane protein, palmitoylated-2 (MAGUK p55 subfamily member 2)",,
43940804,43944215,PPY,Pancreatic polypeptide,,
43952733,44004445,PYY,Peptide YY,,
44004622,44009068,NAGS,N-acetylglutamate synthase,"N-acetylglutamate synthase deficiency, 237310 (3), Autosomal recessive",AR
44034328,44067587,LSM12,"LSM12, S. cerevisiae, homolog of",,
44070673,44076344,"G6PC3, UGRP, SCN4","Glucose-6-phosphatase, catalytic, 3","Dursun syndrome, 612541 (3), Autosomal recessive; Neutropenia, severe congenital 4, autosomal recessive, 612541 (3), Autosomal recessive",AR
44076753,44123641,HDAC5,Histone deacetylase 5,,
44141930,44162476,"HROB, MCM8IP, C17orf53",Homologous recombination factor with OB-fold,,
44170704,44179084,ASB16,Ankyrin repeat- and SOCS box-containing protein 16,,
44191805,44199884,"ATXN7L3, SGF11",ATNX7-like 3,,
44205040,44221304,"UBTF, UBF, CONDBA","Upstream binding transcription factor, RNA polymerase I","Neurodegeneration, childhood-onset, with brain atrophy, 617672 (3), Autosomal dominant",AD
44226963,44230072,"SHC1P2, SHCL1",SHC adaptor protein 1 pseudogene 2,,
44248390,44268135,"SLC4A1, AE1, EPB3, SPH4, SAO, CHC","Solute carrier family 4, anion exchanger, member 1 (erythrocyte membrane protein band 3, Diego blood group)","[Blood group, Swann], 601550 (3); [Blood group, Wright], 112050 (3); Distal renal tubular acidosis 1, 179800 (3), Autosomal dominant; [Blood group, Waldner], 112010 (3); Spherocytosis, type 4, 612653 (3), Autosomal dominant; [Blood group, Froese], 601551 (3); Distal renal tubular acidosis 4 with hemolytic anemia, 611590 (3), Autosomal recessive; {Malaria, resistance to}, 611162 (3); Cryohydrocytosis, 185020 (3), Autosomal dominant; Ovalocytosis, SA type, 166900 (3), Autosomal dominant; [Blood group, Diego], 110500 (3)",AD/AR
44308601,44318670,"RUNDC3A, RPIP8",RUN domain contain 3A,,
44319628,44324823,"SLC25A39, CGI69","Solute carrier family 25, member 39",,
44345302,44353106,"GRN, CLN11",Granulin,"Aphasia, primary progressive, 607485 (3), Autosomal dominant; Frontotemporal lobar degeneration with ubiquitin-positive inclusions, 607485 (3), Autosomal dominant; Ceroid lipofuscinosis, neuronal, 11, 614706 (3), Autosomal recessive",AD/AR
44372181,44389649,"ITGA2B, GP2B, CD41B, GT1, BDPLT2, BDPLT16","Integrin, alpha-2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41B)","Thrombocytopenia, neonatal alloimmune, BAK antigen related (3); Glanzmann thrombasthenia 1, 273800 (3), Autosomal recessive; Bleeding disorder, platelet-type, 16, autosomal dominant, 187800 (3), Autosomal dominant",AD/AR
44395281,44503406,"GPATCH8, KIAA0553",G-patch domain-containing protein 8,,
44557484,44561262,"FZD2, OMOD2",Frizzled class receptor 2,"Omodysplasia 2, 164745 (3), Autosomal dominant",AD
44656468,44677087,"MEIOC, C17orf104",Meiosis-specific protein with coiled-coil domain,,
44708665,44752264,"DBF4B, DRF1, ASKL1","DBF4, S. cerevisiae, homolog of, B",,
44758988,44781846,"ADAM11, MDC",ADAM metallopeptidase domain 11,,
44794104,44831364,"GJC1, GJA7, CX45","Gap junction protein, gamma-1",,
44844860,44850476,HIGD1B,"HIG1 hypoxia-inducible domain family, member 1B",,
44849948,44899445,"EFTUD2, KIAA0031, MFDGA",Elongation factor Tu GTP-binding domain-containing 2,"Mandibulofacial dysostosis, Guion-Almeida type, 610536 (3), Autosomal dominant",AD
44899729,44905390,"CCDC103, SMH, PR46B, CILD17",Coiled-coil domain-containing protein 103,"Ciliary dyskinesia, primary, 17, 614679 (3), Autosomal recessive",AR
44903159,44915500,"GFAP, ALXDRD",Glial fibrillary acidic protein,"Alexander disease, 203450 (3), Autosomal dominant",AD
44924711,44947773,KIF18B,Kinesin family member 18B,,
44959693,44968303,"C1QL1, CRF, C1QRF","Complement component 1, q subcomponent-like 1",,
45061317,45109016,"NMT1, NMT",N-myristoyltransferase 1,,
45108959,45132515,PLCD3,"Phospholipase C, delta-3",,
45131597,45144176,ACBD4,Acyl-CoA-binding domain-containing protein 4,,
45148475,45152099,"CLP1, HIS1",Cardiac lineage protein 1,,
45160174,45170040,HEXIM2,Hexamethylene bis acetamide-inducible protein 2,,
45221885,45247318,"FMNL, C17orf1B",Formin-like,,
45263119,45317020,"MAP3K14, NIK, HSNIK, IMD112",Mitogen-activated protein kinase kinase kinase-14,"Immunodeficiency 112, 620449 (3), Autosomal recessive",AR
45393908,45432870,"ARHGAP27, CAMGAP1",RHO GTPase-activating protein 27,,
45434209,45490721,"PLEKHM1, AP162, KIAA0356, OPTB6, OPTA3","Pleckstrin homology domain-containing protein, family M, member 1","?Osteopetrosis, autosomal recessive 6, 611497 (3), Autosomal recessive; Osteopetrosis, autosomal dominant 3, 618107 (3), Autosomal dominant",AD/AR
45784320,45835828,"CRHR1, CRHR",Corticotropin releasing hormone receptor 1,,
45844881,45847067,IMP5,Intramembrane protease 5,,
45894554,46028334,"MAPT, MTBT1, DDPAC, MSTD",Microtubule-associated protein tau,"Supranuclear palsy, progressive, 601104 (3), Autosomal dominant; Supranuclear palsy, progressive atypical, 260540 (3), Autosomal recessive; Dementia, frontotemporal, with or without parkinsonism, 600274 (3), Autosomal dominant; {Parkinson disease, susceptibility to}, 168600 (3), Multifactorial, Autosomal dominant; Pick disease, 172700 (3), Autosomal dominant",AD/AR
45999250,45999694,STH,Saitohin,,
46029916,46225367,"KANSL1, KIAA1267, MSL1V1, KDVS",KAT8 regulatory NSL complex subunit 1,"Koolen-De Vries syndrome, 610443 (3), Autosomal dominant",AD
46248044,46337794,LRRC37A,Leucine-rich repeat-containing protein 37A,,
46372792,47049128,LRRC37A2,Leucine-rich repeat-containing protein 37A2,,
46590669,46757464,"NSF, DEE96",N-ethylmaleimide-sensitive factor,"Developmental and epileptic encephalopathy 96, 619340 (3), Autosomal dominant",AD
46762506,46818692,"WNT3, INT4, TETAMS","Wingless-type MMTV integration site family, member 3","?Tetra-amelia syndrome 1, 273395 (3), Autosomal recessive",AR
46833189,46886738,WNT15,"Wingless-type MMTV integration site family, member 15",,
46923160,46975890,"GOSR2, GS27, EPM6, MYOS",Golgi snap receptor complex member 2,"Epilepsy, progressive myoclonic 6, 614018 (3), Autosomal recessive; Muscular dystrophy, congenital, with or without seizures, 620166 (3), Autosomal recessive",AR
47117703,47189295,CDC27,Cell division cycle 27,,
47189433,47227650,MYL4,"Myosin, light polypeptide-4, alkali, atrial, embryonic","?Atrial fibrillation, familial, 18, 617280 (3), Autosomal dominant",AD
47253827,47313743,"ITGB3, GP3A, GT2, BDPLT24","Integrin, beta-3 (platelet glycoprotein IIIa; antigen CD61)","Bleeding disorder, platelet-type, 24, autosomal dominant, 619271 (3); Thrombocytopenia, neonatal alloimmune (3); Purpura, posttransfusion (3); {Myocardial infarction, susceptibility to}, 608446 (3); Glanzmann thrombasthenia 2, 619267 (3), Autosomal recessive",AD/AR
47522933,47623276,"NPEPPS, PSA, MP100","Aminopeptidase, puromycin-sensitive",,
47649919,47685505,KPNB1,Karyopherin beta-1,,
47694063,47712063,"TBKBP1, PROSAPIP2, KIAA0775",TBK1-binding protein 1,,
47733236,47746122,"TBX21, TBET, IMD88",T-box 21,"Asthma and nasal polyps, 208550 (3), Autosomal recessive; ?Immunodeficiency 88, 619630 (3), Autosomal recessive; {Asthma, aspirin-induced, susceptibility to}, 208550 (3), Autosomal recessive",AR
47807372,47821794,"OSBPL7, ORP7",Oxysterol-binding protein-like protein 7,,
47823272,47831541,"MRPL10, MRPL8",Mitochondrial ribosomal protein L10,,
47837692,47841273,"SCRN2, SES2",Secernin 2,,
47844908,47876311,"SP6, KLF14, EPFN, AI1K",Transcription factor Sp6,"Amelogenesis imperfecta, type IK, 620104 (3), Autosomal dominant",AD
47896236,47931731,SP2,Transcription factor Sp2,,
47941571,47949308,PNPO,Pyridoxamine 5'-phosphate oxidase,"Pyridoxamine 5'-phosphate oxidase deficiency, 610090 (3), Autosomal recessive",AR
47967904,47981781,CDK5RAP3,CDK5 regulatory subunit-associated protein 3,,
48026167,48048053,COPZ2,"Coatomer protein complex, subunit zeta-2",,
48037161,48037247,"MIR152, MIRN152",Micro RNA 152,,
48048359,48061545,"NFE2L1, NRF1","Nuclear factor, erythroid-derived 2-like 1",,
48070059,48101478,CBX1,Chromobox 1,,
48107523,48123601,SNX11,Sorting nexin 11,,
48133442,48445061,"SKAP1, SCAP1, SKAP55","SRC kinase-associated phosphoprotein 1, 55kD",,
48528526,48531011,"HOXB1, HOX2I, HCFP3",Homeobox-B1,"Facial paresis, hereditary congenital, 3, 614744 (3), Autosomal recessive",AR
48542655,48545109,"HOXB2, HOX2H",Homeobox B2,,
48544351,48551241,"HOXBAS1, HOXB3OS","Homeobox B cluster antisense RNA 1, noncoding",,
48548870,48590241,"HOXB3, HOX2G",Homeobox B3,,
48575507,48578350,"HOXB4, HOX2F",Homeobox B4,,
48579838,48579947,MIR10A,Micro RNA 10A,,
48591257,48593779,"HOXB5, HOX2A",Homeobox B5,,
48595751,48604986,"HOXB6, HOX2B",Homeobox B6,,
48607232,48611017,"HOXB7, HOX2C",Homeobox B7,,
48612346,48615292,"HOXB8, HOX2D",Homeobox B8,,
48621156,48626358,"HOXB9, HOX2E",Homeobox B9,,
48632490,48632559,"MIR196A1, MIRN196A1",Micro RNA 196A1,,
48718666,48724758,"PRAC2, HOXBAS5",PRAC2 small nuclear protein,,
48721719,48722518,PRAC1,PRAC1 small nuclear protein,,
48724763,48728750,"HOXB13, HPC9",Homeobox B13,"{Prostate cancer, hereditary, 9}, 610997 (3)",
48762234,48817229,TTLL6,Tubulin tyrosine ligase-like 6,,
48831035,48865245,"CALCOCO2, NDP52",Calcium binding and coiled-coil domain protein 2,,
48892787,48895871,ATP5G1,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C, isoform 1",,
48908407,48929056,"UBE2Z, USE1",Ubiquitin-conjugating enzyme E2 Z,,
48929316,48944842,"SNF8, VPS22, EAP30",SNF8 subunit of ESCRIT-II,,
48958554,48968596,GIP,Gastric inhibitory polypeptide,,
48996558,49056145,"IGF2BP1, IMP1, CRDBP, ZBP1",Insulin-like growth factor 2 mRNA-binding protein 1,,
49120344,49176840,"B4GALGT2, GALGT2, SD, SDA","Beta-1,4-N-acetyl-galactosaminyl transferase 2","[Blood group, Sid system], 615018 (3); Sd(a) polyagglutination syndrome, 615018 (3)",
49192528,49192599,"TRQ-TTG1-1, TRNAQ2, TRQ2",tRNA glutamine (anticodon TTG) 1-1,,
49206234,49210574,GNGT2,"Guanine nucleotide-binding protein, gamma-transducing activity polypeptide 2",,
49210707,49223225,NESH,NESH protein,,
49288117,49362473,"ZNF652, KIAA0924",Zinc finger protein 652,,
49404052,49414882,PHB1,Prohibitin 1,"{Breast cancer, susceptibility to}, 114480 (3), Somatic mutation, Autosomal dominant",AD
49495293,49515008,"NGFR, TNFRSF16",Nerve growth factor receptor,,
49575871,49583827,"NXPH3, NPH3",Neuroexophilin 3,,
49598884,49678163,"SPOP, NSDVS1, NSDVS2",Speckle-type POZ protein,"Nabais Sa-de Vries syndrome, type 1, 618828 (3), Autosomal dominant; Nabais Sa-de Vries syndrome, type 2, 618829 (3), Autosomal dominant",AD
49700943,49708197,"SLC35B1, UGTREL1","Solute carrier family 35, member B1",,
49788681,49835026,"KAT7, MYST2, HBO1",K(lysine) acetyltransferase 7,,
49838300,49848069,"RAC4, PPTC, HK1",Tachykinin 4,,
49968572,49974959,"DLX4, DLX7, DLX8, OFC15",Distal-less homeobox 4,"?Orofacial cleft 15, 616788 (3), Autosomal dominant",AD
49990005,49995224,"DLX3, TDO, AI4",Distal-less homeobox 3,"Trichodontoosseous syndrome, 190320 (3), Autosomal dominant; Amelogenesis imperfecta, type IV, 104510 (3), Autosomal dominant",AD
50056110,50090481,"ITGA3, CD49C, GAPB3, JEB7","Integrin, alpha-3","Epidermolysis bullosa, junctional 7, with interstitial lung disease and nephrotic syndrome, 614748 (3), Autosomal recessive",AR
50094737,50112152,PDK2,"Pyruvate dehydrogenase kinase, isoenzyme 2",,
50110040,50130160,SAMD14,Sterile alpha motif domain-containing protein 14,,
